System,SOURCE_ID,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,e_gmag,e_bpmag,e_rpmag,Radius,Teff
1,152935195517952,45.92584336054053,0.8861107939012035,17.980106353759766,18.000093460083008,17.998868942260742,0.0015130783995822373,0.013217996211741332,0.013788312941508103,0.018,11641.260
2,288175125714560,44.287428493193936,0.7743463085708776,17.467531204223633,17.490589141845703,17.51779556274414,0.0015501767872426815,0.010535382064445955,0.013653327770129304,0.014,12133.889
3,298895364329216,44.443285007130946,1.0183527718560161,17.783056259155273,17.73702049255371,17.936655044555664,0.0014834472444328764,0.011114552747722923,0.03457267690225826,0.009,17060.824
4,1068931460633216,46.15531270738112,2.948799910999976,14.884055137634277,14.73051929473877,15.190587997436523,0.0006792163984606072,0.0014671462361568826,0.002314205640344942,0.017,33036.954
5,6918986155511040,45.474302263000176,5.672183763200849,18.11237335205078,18.168087005615234,18.134122848510742,0.0015468807777681245,0.013915079753713236,0.020937174197440893,0.013,11402.498
6,7033270940879744,45.68268000011384,6.4436580491249655,17.739185333251953,17.792089462280273,17.755258560180664,0.0017581211192858382,0.02010055099709522,0.012154059282197156,0.013,11220.185
7,12254267546754176,54.99402565256047,9.81986369184945,16.536251068115234,16.536577224731445,16.59111976623535,0.0011009436890165362,0.004192931538685595,0.00526022694230599,0.012,12735.031
8,13469296613857152,53.14961807306613,11.525735470585845,16.399871826171875,16.34920310974121,16.537763595581055,0.000865062082269385,0.003513473430260345,0.0032954023902324135,0.013,16292.960
9,13611477211053824,47.53783087788579,7.95850408502911,16.22333335876465,16.275285720825195,16.140295028686523,0.0009867442621216858,0.002896670700104387,0.005835755666791803,0.013,9954.054
10,14141304376849280,49.43015798627856,9.165280778816607,15.840542793273926,15.766364097595215,16.003759384155273,0.0007318760664209832,0.004259592170941319,0.005202465351305604,0.013,18113.401
11,27015245508396544,39.48685100164779,14.294401322207417,18.062665939331055,18.237695693969727,17.737585067749023,0.0015725569048953287,0.02483910962810015,0.020818580003522175,0.013,7046.931
12,31047257726638592,47.47455756818956,15.088994890103582,15.210762977600098,15.12132740020752,15.408513069152832,0.0006164033280109448,0.001954527039216567,0.002189936725955767,0.014,20464.446
13,32880762085326336,41.002932130061026,14.40828017105749,16.65452766418457,16.64759635925293,16.712059020996094,0.0008017295809211785,0.007780947850963971,0.006395505375288223,0.014,12882.496
14,33554517899463040,41.600234601930886,15.750531153330114,16.358505249023438,16.30797004699707,16.496917724609375,0.0008930273554361746,0.00413972607286699,0.005327154593003815,0.012,16330.519
15,36075324401936512,56.83068957681212,10.15579960299458,17.991474151611328,18.062829971313477,17.819377899169922,0.0009901131131638966,0.01596048527018033,0.011518869388309223,0.014,8994.976
16,36207059639735296,57.413931099970334,10.613810375764334,16.71031379699707,16.716339111328125,16.73451042175293,0.0008802162448690771,0.00418417064498097,0.005139008072600495,0.011,12161.860
17,37976345646670464,57.164789491366854,13.558066445797305,16.142227172851562,16.042827606201172,16.343944549560547,0.0006933735482004247,0.0028580959491730866,0.004438553716307676,0.012,21577.444
18,39124751182907520,61.146005036073106,15.040331922576229,16.006397247314453,15.997611045837402,16.04507064819336,0.000659336819206145,0.002386902632091459,0.002751974668348232,0.012,12589.254
19,39305036729495936,60.92602282147969,14.99121874991044,15.02188491821289,14.993043899536133,15.107189178466797,0.0005503031058382068,0.0010890490238355732,0.0013453729990022545,0.010,14288.940
20,39475117435006336,58.01898878844005,14.070183950993908,19.27030372619629,19.51201057434082,18.8065128326416,0.002315630153228378,0.03457725662249726,0.032431159194503616,0.014,6053.409
21,43545475119041024,58.4436480658742,16.927738408783338,19.35910415649414,19.318124771118164,19.085609436035156,0.002568608800671351,0.0375726431026904,0.05020105139621823,0.014,11587.774
22,45297409459299328,62.642507894537154,16.056090126479422,16.926088333129883,17.021520614624023,16.768457412719727,0.0008771302936236518,0.005434421346460792,0.00782136741903273,0.023,8810.489
23,45980377978968064,62.370949953779956,17.131677494293307,15.35600757598877,15.319014549255371,15.46332836151123,0.0008523749588629044,0.0014054786756706051,0.002820661783132052,0.010,15066.071
24,46896958359881728,62.54334799500532,18.039562944974314,14.224763870239258,14.217228889465332,14.278189659118652,0.00063575552940927,0.0009999687807017538,0.0011040064623639757,0.013,12764.388
25,59077760488621184,47.95520026350009,19.014964275614346,14.205872535705566,14.134659767150879,14.36493968963623,0.0007187131859620261,0.0012718518452224808,0.0013473938756066689,0.014,17660.378
26,59370127502651264,50.01709548886849,19.79287511426493,15.639561653137207,15.582653999328613,15.793780326843262,0.0007421550327049134,0.002655964126346471,0.0025313463078736097,0.014,17021.585
27,61497407625478272,52.10557922458336,21.885372626309735,15.46996784210205,15.45725154876709,15.535473823547363,0.0008214375304138141,0.0019366649986192809,0.0023015327268760283,0.012,13273.945
28,66027979649547136,60.904807373808445,24.248260561252675,17.41066551208496,17.43359375,17.428485870361328,0.0008837253996342544,0.005723711869973308,0.009773715771256885,0.012,11994.993
29,67620897117741440,53.72174456552218,22.835811171879698,15.228215217590332,15.13733196258545,15.431824684143066,0.0008440631092153847,0.001869919109487182,0.002366398532646395,0.014,20844.909
30,72992389375581440,34.03223370275309,11.988734252169154,16.417381286621094,16.364765167236328,16.553342819213867,0.0009549039000476748,0.004473650845307307,0.004238235797878602,0.014,16180.800
31,74336778563550464,36.62481760327524,12.422843770663272,16.78887367248535,16.7852840423584,16.846839904785156,0.001401257932835578,0.009306472330406601,0.009354392197705204,0.027,14125.375
32,74803108933097216,36.176891210410915,13.613684884340476,18.888158798217773,18.963062286376953,18.87757110595703,0.0022447335110915277,0.026281856099796646,0.0448745666560547,0.019,12912.193
33,75596273428325888,35.78124642871281,14.142923037454672,18.271493911743164,18.363523483276367,18.251659393310547,0.0022406690079627227,0.021357845841009568,0.040499837675841935,0.011,10375.284
34,76977912867771392,30.285862513905567,13.68056679240785,18.951860427856445,18.950397491455078,18.758953094482422,0.0024647938183917154,0.04768688273799632,0.05283394649231952,0.009,9527.962
34,76977912867771392,30.285862513905567,13.68056679240785,18.951860427856445,18.950397491455078,18.758953094482422,0.0024647938183917154,0.04768688273799632,0.05283394649231952,0.009,9506.048
35,78094600069553920,28.802648453748656,14.781662386636489,18.376789093017578,18.28193473815918,18.613672256469727,0.0018240013558481515,0.01789848280285461,0.03479739283888333,0.011,29174.270
36,91690164426711040,27.090195129187666,17.870417674280404,15.785089492797852,15.707601547241211,15.907499313354492,0.0006051766547963225,0.005892553189463986,0.007385086916724969,0.013,16595.869
37,95297185335797120,27.237708218217968,19.04047785001026,15.54422664642334,15.545121192932129,15.525402069091797,0.0005312367731780082,0.002024177098163477,0.0026482435187892453,0.011,11534.533
38,97802693162635520,28.621557740050573,22.405507578836183,18.654918670654297,18.699434280395508,18.812026977539062,0.00195951839707988,0.034973737533526575,0.03646442780966509,0.014,17701.090
39,98092934167683072,26.67130104439892,21.91287445626098,15.035609245300293,15.1187105178833,14.882967948913574,0.0004610160959083105,0.0022171285707472625,0.0017191130858395468,0.011,8994.976
40,99013702140961792,27.674130157382308,23.78965416236088,17.953693389892578,17.978782653808594,17.999181747436523,0.0014886374778742182,0.012103441676275549,0.015382008110490415,0.015,12473.835
41,99068815161782144,27.980132894037602,24.363451850226216,18.36765480041504,18.50199317932129,18.190031051635742,0.0018308538820809,0.013589975310375835,0.01701694390517759,0.016,8394.600
42,99915890086770176,35.90111995181112,22.45782133973547,15.798637390136719,15.75663948059082,15.90268611907959,0.0007290619204786147,0.0023861586423976617,0.0032897798029030666,0.013,14859.356
43,103291111611179520,37.15967405195572,26.376555597057614,18.061716079711914,18.18375015258789,17.803075790405273,0.0014640462732337027,0.01305031089832162,0.02007823980206748,0.014,7834.296
44,105299786211260160,30.940837281586603,25.06927178235876,15.75236988067627,15.670223236083984,15.897850036621094,0.0008399744759480403,0.0037405842853906507,0.004860384560232588,0.015,17579.236
45,106634455888200576,35.29079411720007,27.398901993271775,19.21494483947754,19.294172286987305,19.0529727935791,0.0037064711417174536,0.04274455841722247,0.07366155354968777,0.011,9289.664
46,107515710163394048,32.38868749640308,28.416545427060537,19.300291061401367,19.56776237487793,18.948930740356445,0.0031469703927575715,0.05876824649598319,0.08914427938168247,0.019,6591.739
47,110492569175746304,48.61332876107002,22.96697685661947,19.915302276611328,20.281917572021484,19.50448989868164,0.0034246875031053677,0.050606476216447656,0.0461885642624265,0.016,5847.901
48,111863217793422976,45.92108570481595,24.92826764789511,19.0344181060791,19.05335235595703,18.5150146484375,0.002866435905082866,0.05229807685953297,0.07032954669624455,0.019,7128.530
49,116962271687083136,45.20561944077896,28.87112435738694,18.6602840423584,18.592514038085938,18.346345901489258,0.0017843699670154506,0.031185723223083325,0.047302168651303704,0.014,9440.609
50,125315772624513024,48.701251722496785,32.82117260869602,16.893524169921875,16.84103012084961,17.013376235961914,0.0010509786731392335,0.005452976933904771,0.006526801475385247,0.016,17458.222
51,127267886799869952,38.19077164138436,26.482170067834794,17.88886833190918,17.8975887298584,17.939931869506836,0.0013161611762261746,0.013005714595144824,0.026677974760529525,0.013,13335.214
52,129072494619153536,44.495011902576046,29.733285731140562,19.0863094329834,19.2769832611084,18.848453521728516,0.002450356198890544,0.040749446250131306,0.033694051565213635,0.015,7798.301
53,136137475303027200,46.90286530400295,33.38198224824042,18.555339813232422,18.66042709350586,18.532217025756836,0.001800299911147761,0.020276644189778696,0.022119985873261333,0.012,10690.549
54,137211187062953216,44.310695633576046,34.69121788582164,18.73124885559082,18.7976016998291,18.693862915039062,0.002381505497517222,0.024397864251890205,0.04530188782490617,0.012,10964.782
55,139007956564901760,46.10278837178536,36.5796159846017,18.513383865356445,18.60848617553711,18.380107879638672,0.0016991540051635927,0.016447222918111654,0.035636786264692834,0.012,9268.298
56,147337482994736896,71.0009752598716,24.956052540399394,15.700931549072266,15.585646629333496,15.937499046325684,0.0005650431126035038,0.001313954111482017,0.002997188471007479,0.015,25941.794
57,147971725111014144,69.16587648762176,25.29487039888718,18.95613670349121,19.242938995361328,18.624540328979492,0.0021073500095288213,0.023576329311744207,0.026045005922294192,0.014,6456.542
58,147985404582267648,69.24792222381511,25.59632514582703,15.746496200561523,15.642646789550781,15.968140602111816,0.0007260934856062984,0.0021391671802454566,0.0037779703090700485,0.010,22855.988
59,152371871863155840,64.73630400036618,27.29643039279796,15.030416488647461,15.051005363464355,15.015746116638184,0.0015306174956869003,0.005020333382597063,0.0038990964579690866,0.015,11066.238
60,168604374341638912,58.401316517420035,30.77801766162748,17.04197883605957,17.11386489868164,16.896425247192383,0.0006708647008404564,0.006948519149088812,0.008501261705085585,0.012,9183.326
61,175702855768911360,65.04714589267775,33.59283790859216,15.21471881866455,15.154441833496094,15.356026649475098,0.0008474542536442612,0.0017590292568065657,0.0030805809466397036,0.014,16557.700
62,187841532857866112,79.14635950627358,38.782942654710595,19.8709659576416,20.410064697265625,19.285655975341797,0.0032909504551729366,0.05245186029044715,0.06584514409051813,0.017,4709.773
63,205809580079940864,76.45392368838549,45.09815773846459,19.94500160217285,19.864927291870117,19.41897201538086,0.003604053688774653,0.08808813710519839,0.06576578782580764,0.011,7709.035
64,215425324660500864,83.57236141114544,51.30724886825152,19.790111541748047,19.8339786529541,19.106658935546875,0.003039555874038411,0.06325186792640569,0.0510913783830011,0.011,5929.253
65,221424221446885248,56.10031991556905,35.54413859528865,18.679136276245117,18.957820892333984,18.30689239501953,0.00134206761642323,0.018295236222451765,0.016144827276096146,0.012,6266.139
66,226433630783188736,60.221711051497465,38.25520914404096,19.389976501464844,19.52989387512207,19.240816116333008,0.0023107619354751966,0.04388299806074986,0.04619423747988557,0.015,10209.395
67,231252004271293312,57.65914260544352,42.19768682414835,18.357858657836914,18.437435150146484,18.255064010620117,0.0014929983699349188,0.017542964025305842,0.028092519784591378,0.028,15995.580
68,233287195997480960,61.932443659190774,45.03534398686318,19.397058486938477,19.49495506286621,19.294343948364258,0.001877420162180667,0.016459626652770825,0.024227269708461948,0.010,10641.430
69,238606500108432512,54.05566755718184,44.21700082083116,18.998693466186523,18.9129581451416,18.864871978759766,0.0018752187071372477,0.03279969121664476,0.050812722182063404,0.019,15346.170
70,238954972279457792,48.32844478639506,40.474313509711095,18.69991111755371,18.7867431640625,18.612957000732422,0.0016991076317087743,0.014965982754192078,0.032363285631338674,0.015,10046.158
71,239608631943289728,48.28431862142068,41.62055159788844,18.52068519592285,18.48567771911621,18.672595977783203,0.0015426778914516485,0.012724089220485738,0.02728892806645324,0.012,24490.632
72,245368634060667520,58.02108686421705,47.50179268413628,20.070552825927734,19.92939567565918,19.546140670776367,0.004768265706900875,0.0689336139077203,0.089734454507461,0.008,8298.508
73,250519124483737728,59.94994314089188,49.945937855271374,18.477100372314453,18.47592544555664,18.377300262451172,0.001335851180756515,0.015746608397969358,0.029065901779602717,0.015,12793.813
75,268705626623760384,89.29227585444823,57.17082242412665,19.807146072387695,19.81485366821289,19.663394927978516,0.004012805143041556,0.062265514512382734,0.0908852140676119,0.014,11668.096
76,277090540953615616,68.32301890196736,55.45367816673778,16.913515090942383,17.01133155822754,16.742006301879883,0.00067946657278978,0.009924992494281715,0.006171346420507342,0.014,8689.604
77,279096973579137152,71.12466585383169,59.30224307273282,19.1361141204834,19.249956130981445,19.065942764282227,0.002346809109856759,0.03142972287874117,0.03768960006317486,0.013,10543.869
78,280686729954126080,74.98089301142444,57.38997193996394,19.49334144592285,19.602970123291016,19.302364349365234,0.00212960451642425,0.021904046153035452,0.03785122030065123,0.013,9204.496
79,283096760659311744,83.439147160223,60.96385821617305,15.751609802246094,15.765132904052734,15.765066146850586,0.0005441125862328506,0.0020463391182361118,0.0025352107118478294,0.013,11668.096
80,283116139551733248,83.3164765708211,61.17573924824633,17.497291564941406,17.534778594970703,17.449098587036133,0.0009230469119492835,0.006926926043419782,0.00852619358949214,0.013,10543.869
81,286069492208158848,81.29212048216186,61.188842456895124,19.49287223815918,19.580860137939453,18.995695114135742,0.0026848266305407238,0.05295779947762802,0.06456649466780402,0.015,6622.165
82,286500161464125952,83.68080977736146,62.85246071668967,18.319786071777344,18.427051544189453,18.229463577270508,0.00098463187964315,0.010810898246035996,0.015451471291211579,0.013,9397.233
83,287184431357107456,81.20142889445218,62.61455264354904,18.613113403320312,18.869125366210938,18.28150749206543,0.0012820854138072223,0.021694580189912563,0.028004037684400823,0.014,6576.578
84,290192798249722880,23.211069282185623,23.719008684431337,18.246593475341797,18.243288040161133,18.330734252929688,0.0013311448748609615,0.00961327136038745,0.012976988411167494,0.016,15066.071
85,290771141365123968,24.628519764581473,22.912635868736782,18.23860740661621,18.40509605407715,18.07108497619629,0.001679792258676726,0.01611065226859531,0.017615200153128827,0.013,8184.648
86,291098280434472192,26.870973878116697,23.861372460861222,17.978717803955078,17.98613166809082,18.218265533447266,0.0019419941878516171,0.015674482074804704,0.036472942162409934,0.012,21627.185
87,291347594695740800,25.887009071330958,24.285178231037808,17.75935173034668,17.728561401367188,17.869565963745117,0.0015286853243152345,0.013231971659099303,0.01831623388698158,0.018,17498.467
88,294641972051295360,19.960614160484116,25.863547629726085,18.659610748291016,18.781795501708984,18.54323387145996,0.0016621329162453116,0.02312394464664632,0.02691829975530194,0.012,9015.711
89,294804974649962496,18.711562542187533,26.13090465344924,17.997682571411133,17.969934463500977,18.095420837402344,0.001252186084441385,0.011471296508496855,0.02099299636063431,0.016,15417.005
90,296387240605264896,21.951820942686915,27.766776678818776,20.18671226501465,20.489004135131836,19.56919288635254,0.004700232218164047,0.07317705022530657,0.08256084091193987,0.014,5272.299
91,308545884995119360,20.155753794542655,27.96743284136618,16.71367835998535,16.606779098510742,16.95075798034668,0.0008377331155866115,0.004074967211283979,0.008789210820030929,0.016,24888.573
92,308668892858515712,20.374444393044786,28.46972905256222,17.74671745300293,17.700332641601562,17.944944381713867,0.0011651557598239557,0.008671796150772619,0.01628299606512634,0.013,20044.720
93,309695832425488640,18.08181166587602,29.14868646723277,18.764728546142578,18.923757553100586,18.62827491760254,0.0019932199368397053,0.03588906989858741,0.035253824277590204,0.014,8511.380
94,310202535484988672,19.851638020098886,30.44737285331214,18.241884231567383,18.20269203186035,18.409133911132812,0.0015163936021378819,0.01569658541883641,0.029425119195183636,0.018,19543.395
95,310488477228548352,18.92333152060204,31.067714410045102,18.08475112915039,18.013778686523438,18.250436782836914,0.0015616176576067284,0.01801038490809679,0.048277741421910284,0.019,20749.135
96,310527617265217792,19.143499128656092,31.48118085586776,16.542007446289062,16.44154930114746,16.74066162109375,0.0006746381126875179,0.00546744924756239,0.007017834804745789,0.014,21281.390
97,310587987325507072,19.17790496446563,31.771567554710018,18.27003288269043,18.28789710998535,18.292423248291016,0.0014743863609424294,0.014379976601091459,0.01829281762838518,0.013,11939.881
