log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-5.1676,7.8584,15.9112,0.0138,17.6591,2511.88643150958,26761.27781328438,29411.239793422446,22790.536596566966,324.90567510667256,21387.960797094223,39447.66443983219,16447.590560837212,10102.372854062414
-5.0874,7.8581,15.1956,0.0138,17.4584,2630.2679918953813,31378.114724675812,32484.286489890794,28165.310972875362,391.4509011717351,23887.42735924607,43541.29034767631,21097.076919665953,13162.651813552216
-5.0071,7.8578,14.4893,0.0138,17.2576,2754.2287033381663,36737.2671599709,35921.40641136339,34517.119860907886,479.7304630656377,26844.13284661835,47949.1922241279,26635.587860060597,16899.092892330304
-4.9267,7.8575,13.794,0.0138,17.0568,2884.031503126606,42814.10270505646,39663.709810047825,41855.69432507889,595.6584364878266,30189.045321135833,52599.4611667877,32983.92135686738,21449.80721544928
-4.8463,7.8571,13.1108,0.0138,16.8558,3019.9517204020162,49630.293846971595,43961.58397242775,50058.12179498424,746.3066255405864,34170.34623750503,57748.57807873972,39963.386781171874,26704.434964669297
-4.7658,7.8566,12.4263,0.0138,16.6546,3162.2776601683795,57240.95179511911,48909.51227055919,59139.07816425544,952.000764636634,38934.03181188453,63471.87023354004,47514.0758136649,32741.863471314377
-4.6853,7.856,11.7511,0.0138,16.4532,3311.311214825911,65745.62322297596,54882.42998430391,68997.68993141777,1255.0970164769553,44883.77528789748,70129.58924851444,55496.07728658298,39411.538914524004
-4.6046,7.8554,11.0438,0.0138,16.2516,3467.368504525317,75014.7811424802,62074.514572674096,79234.54176743753,1669.234288629215,52269.624405323106,77893.51376252418,63635.914009878026,46300.25609950909
-4.5239,7.8546,10.2918,0.0138,16.0497,3630.780547701014,85346.72222938306,70917.48606694459,90031.51341774093,2316.953390005751,61666.51128544819,87084.58673841677,72134.37716932467,53410.10026142373
-4.4429,7.8537,9.4433,0.0139,15.8473,3801.8939632056126,96080.53636600821,81358.30730425932,100268.17790790855,3305.2618390845005,73305.73485261697,97308.29599627126,80247.3793710459,59718.92281783067
-4.3618,7.8525,8.5551,0.0139,15.6444,3981.0717055349733,110031.09091364987,95438.12628009089,113199.13882789844,4862.793970123362,89235.5596447988,110945.5449047828,90571.35364807973,67395.66540708212
-4.2802,7.851,7.5638,0.0139,15.4406,4168.693834703355,129788.2626031474,116950.45191181153,130377.64223232897,8007.295750010424,114197.85635044203,130903.08072283636,104508.3181263973,76847.89316296876
-4.1982,7.849,6.5314,0.0139,15.2356,4365.158322401661,153601.48656103102,144132.4949282249,150204.5618995329,13274.123976163024,146304.59009024105,155177.89899764778,120756.59499402631,87271.40453860855
-4.1156,7.8463,5.4395,0.014,15.029,4570.881896148751,183437.84848885398,180125.59709978595,173818.76187511126,22714.30215503085,189579.54684781865,185781.8985280737,140244.03154002517,99175.75028213373
-4.0322,7.8429,4.3451,0.014,14.8205,4786.300923226385,222786.53962937024,228715.41353857634,204633.4621666516,41371.32198761415,247326.97219136555,225841.3164421941,165715.97934415963,114647.7390964664
-3.9481,7.8389,3.3567,0.0141,14.6103,5011.872336272725,271410.5930702333,291335.4139565446,240876.5366030637,66447.28562614953,323124.0822088765,275740.9342573903,195786.2705640791,132161.0074948021
-3.8638,7.8345,2.7745,0.0142,14.3994,5248.074602497728,330863.0969943722,370693.367860566,283541.1096615929,101948.01665869994,420524.0742516563,336606.71791074815,231272.38034888514,152336.81709575615
-3.7796,7.8303,2.3934,0.0142,14.1889,5495.408738576249,406900.600307973,474913.8290965925,336400.0368307467,151795.45953069313,550491.81169176,413849.8282158741,275197.0476043151,177061.80095611542
-3.6958,7.8265,2.0955,0.0143,13.9794,5754.399373371566,488014.7453696797,593033.7770391102,388508.61051488767,215478.22782110563,702256.0304150769,495070.8927199996,318616.58920426754,200460.81471963992
-3.6125,7.8232,1.8404,0.0144,13.7712,6025.595860743575,581112.2561205222,732396.9391780371,446136.4829394522,297543.5126832751,883329.1612781192,587130.2868504742,366754.51999278757,225910.58585937636
-3.5296,7.8204,1.6185,0.0144,13.564,6309.57344480193,695889.1018244323,907708.7473283126,515403.94600861066,407371.3533343202,1112865.2154845947,699221.0332758036,424634.6943998713,256387.34309078765
-3.4469,7.8177,1.4259,0.0144,13.3574,6606.934480075957,827599.1484903051,1113746.931810276,592253.6409090824,544390.4347753815,1385232.1672972904,826446.0034570321,489075.01275315456,289718.73604611936
-3.3643,7.8151,1.2587,0.0145,13.1508,6918.309709189362,965804.0336217864,1336150.874821392,668985.521973083,700711.8555917952,1682486.3431911867,958083.7265593017,553763.6629258513,322111.0040441467
-3.2817,7.8125,1.1128,0.0145,12.9443,7244.359600749898,1137860.4827227017,1613375.658636244,764217.0433482367,895404.8976441665,2053957.9478212295,1121097.7050902878,634285.0198841706,362481.26230393647
-3.1991,7.8098,0.9854,0.0146,12.7376,7585.775750291836,1317890.4404762082,1910230.5802362955,859423.0785977589,1107668.3802951325,2456415.5650767353,1289655.624259672,715409.5735530691,401860.99430379935
-3.1164,7.8071,0.8738,0.0146,12.5309,7943.282347242814,1543402.885197805,2282053.350479133,977793.1982136731,1368137.53645918,2963069.516869575,1499801.406224036,816798.1539817163,450978.5173350355
-3.0336,7.8044,0.7757,0.0147,12.324,8317.63771102671,1779222.8598358063,2679148.8020047015,1095564.7591912663,1645132.1911505987,3510854.91458,1716582.9656676273,918725.5399107042,498501.99022516405
-2.9508,7.8015,0.6889,0.0147,12.1169,8709.635899560806,2074867.412765686,3177728.8387387027,1241761.1089700926,1983721.9576123063,4203517.721601881,1987306.2506995592,1045841.3038770467,557528.2737757054
-2.8678,7.7985,0.6118,0.0148,11.9095,9120.108393559096,2380902.376733326,3704657.5930512385,1384552.0680510504,2338148.223787095,4946341.776202638,2263685.23026268,1171377.9060572914,613392.0391589612
