log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-4.7572,7.0486,12.3435,0.0221,16.6331,2511.88643150958,25825.008430883707,25899.236263197403,23860.974470513353,245.07043555572972,17801.762588992464,36014.29525061846,17762.983473723718,11339.581289366206
-4.6754,7.0468,11.4191,0.0221,16.4285,2630.2679918953813,30246.872244374896,28521.145058541904,29260.933428239445,302.72683657266737,20053.168581546364,39408.95515869265,22461.35292353065,14631.101348968565
-4.5935,7.0449,10.5838,0.0222,16.2238,2754.2287033381663,35020.23616050476,31246.800595578556,35198.71220926186,377.92839325481305,22502.025022662965,42798.989879282555,27597.802999620675,18426.193058638146
-4.5115,7.0429,9.8179,0.0222,16.0187,2884.031503126606,40491.0529416759,34264.59129244139,42127.605467817215,483.3364201174462,25347.87771434794,46408.07123929589,33456.03811241945,23116.156025354696
-4.4291,7.0405,9.0888,0.0223,15.8127,3019.9517204020162,46248.2488548275,37891.49832690735,49097.909081670055,620.5628084585929,28832.202935915986,50597.57955690717,39164.332861101095,27877.372611149072
-4.3463,7.0377,8.4052,0.0224,15.6058,3162.2776601683795,52709.510454417716,42000.59744670016,56934.654137367776,806.4536898777405,32893.60822628583,55248.87400713957,45511.84298410922,33386.0876608746
-4.2626,7.034,7.7117,0.0225,15.3965,3311.311214825911,59579.92924405781,47057.24186865856,64760.12632125182,1070.2135216581369,38029.66641907315,60787.5208877107,51638.71456404512,38845.12558151875
-4.1782,7.0295,7.0456,0.0226,15.1854,3467.368504525317,67230.77863053033,53188.11836098685,73082.91226746973,1481.8989547723004,44441.701076875055,67291.86883586884,58141.14507259468,44533.28045412016
-4.0936,7.025,6.4469,0.0227,14.9741,3630.780547701014,76133.06338436247,61068.85684185665,82182.81424818085,2132.1794614308064,52858.62208797336,75420.21283479089,65308.35498894264,50425.458019555634
-4.0085,7.0199,5.9058,0.0228,14.7613,3801.8939632056126,87095.42151298116,71680.6295292128,92683.6288543109,3266.824289582024,64484.874387303185,86033.9324277076,73666.62360734557,56774.31094813775
-3.9209,7.0123,5.3178,0.023,14.5422,3981.0717055349733,101711.33328501438,86851.20188697636,105929.53147441571,5319.365080258139,81468.90519436971,100721.87364556496,84373.25173348219,64240.053505542026
-3.8306,7.002,4.7229,0.0233,14.3166,4168.693834703355,119188.17701649826,105983.84292372782,121082.36118387332,8763.621818834645,103365.52389508057,118551.6563107739,96762.84236052357,72388.52441862525
-3.736,6.9874,4.1153,0.0237,14.08,4365.158322401661,69567809258.84178,113902908216.15344,34684547373.921005,102428020090.33992,151436603393.68222,69817256016.24208,38994536906.93832,23539914115.856358
-3.6351,6.9665,3.54,0.0243,13.8278,4570.881896148751,66174774818.53857,108347515649.59818,32992876110.446728,97432292849.23204,144050577927.14078,66412055296.04737,37092654296.022255,22391800639.698143
-3.5291,6.9405,3.1863,0.025,13.5627,4786.300923226385,62520868452.15814,102364999225.48996,31171141463.1323,92052471367.26884,136096681216.3158,62745047250.82082,35044546296.41309,21155414975.576572
