log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-5.8232,8.8577,8.9875,0.0065,19.298,2511.88643150958,27014.585360373872,31710.62424870777,21484.537556370327,505.3691844585634,25587.08659401429,40067.54697311146,15258.56688841897,9161.252490064768
-5.7432,8.8576,8.9264,0.0065,19.0979,2630.2679918953813,31862.38683879776,35579.90560448551,26651.767141866356,589.0725107483311,28725.053015880796,45122.45855845772,19617.052114568563,11903.504836592827
-5.6631,8.8576,8.8653,0.0065,18.8979,2754.2287033381663,37670.23296730875,40042.832598247915,32964.463363728326,701.534052772721,32420.58439356199,50861.920503479014,25026.13285933922,15327.624511815784
-5.5831,8.8576,8.8042,0.0065,18.6978,2884.031503126606,44197.561220919866,44714.13066008628,40342.79748612894,832.1636795150158,36363.09486154571,56800.57795438084,31375.723263619122,19559.36957351103
-5.5031,8.8575,8.7431,0.0065,18.4978,3019.9517204020162,51646.19207309313,49934.96979821885,48856.91157508536,1003.3414558900479,40931.79957476812,63275.08755095084,38700.2477988684,24582.998391995257
-5.4231,8.8575,8.682,0.0065,18.2977,3162.2776601683795,60166.99286214345,55847.635633446625,58674.04237376176,1235.8585222058239,46304.24836619186,70396.77353152008,47053.69638136846,30605.173986029462
-5.3431,8.8575,8.6184,0.0065,18.0976,3311.311214825911,69758.68834259374,62748.70849819632,69586.66293192153,1547.2794470595993,52808.13608499351,78435.51541802978,56176.379476388625,37472.68848450148
-5.263,8.8574,8.5451,0.0065,17.8975,3467.368504525317,80448.56579164276,71095.93850951249,81306.63924284272,2011.1698822274348,61142.1686874341,87642.0958758566,65728.50371325771,44960.88515980189
-5.183,8.8574,8.4581,0.0065,17.6974,3630.780547701014,92785.11408102138,80999.95759948938,94642.45781254122,2639.5430933956973,71334.69996121524,98299.82727983502,76516.26204680788,53603.71046696074
-5.1029,8.8573,8.3562,0.0065,17.4973,3801.8939632056126,105730.01797894677,92615.73796359198,107727.35829681267,3561.3016155753126,83865.01691506233,110162.23914159798,86926.81069048385,61926.260128616595
-5.0228,8.8572,8.2287,0.0065,17.2971,3981.0717055349733,121528.5471578618,108184.43755384699,122632.62091888709,5015.667711502504,101321.31995933923,125369.74853005486,98808.37246803712,70956.93581013326
-4.9427,8.8572,8.076,0.0065,17.0968,4168.693834703355,145157.10766429693,133661.0263195152,143299.94052716746,8146.456760533085,131020.97861240007,149015.9496253234,115460.58293593205,82618.0333463275
-4.8626,8.857,7.8816,0.0065,16.8965,4365.158322401661,163635.79322447284,154812.06069239922,158622.94551485596,11544.330636658822,156379.86681253297,167800.30842398858,127936.28802248505,90822.7928884063
-4.7825,8.8569,7.6545,0.0065,16.6962,4570.881896148751,195541.21351442012,193003.32525855597,183842.53935759564,19486.271836089603,202740.65204057994,200333.11997171014,148659.86902209045,103684.74233329999
-4.7023,8.8567,7.3465,0.0065,16.4957,4786.300923226385,233151.5494906275,240018.54103729254,212503.46219708544,32377.90591360191,261108.3972164967,238755.1536077795,172327.16597251923,117932.86596422094
-4.622,8.8564,6.9525,0.0065,16.295,5011.872336272725,279073.3116818193,300057.71074234706,246334.93652769295,58254.4031100834,335104.94679698447,285044.5585041176,200333.57714338411,134411.01254855926
-4.5417,8.8561,6.462,0.0065,16.0942,5248.074602497728,338094.65583873505,379004.8709573675,288513.4142132176,92539.84265202783,433052.78796955367,345010.85130251764,235371.4299580508,154424.0195837016
-4.4613,8.8557,5.8834,0.0065,15.8932,5495.408738576249,410807.4453862416,479606.2031310964,338505.71879424073,142261.94980270587,559063.1136013586,418516.6638543536,276996.1583100451,177645.76262442488
-4.3808,8.8552,5.2895,0.0065,15.692,5754.399373371566,496453.19048236805,603288.1454265325,394353.78193349054,209241.9490379883,717035.7989167243,504281.1734375128,323529.39516167203,202934.01728003856
-4.3003,8.8547,4.7986,0.0065,15.4908,6025.595860743575,594235.1070177597,747971.054464436,456211.2705278523,295834.4570903377,902944.0466170694,601329.8389176995,375174.8744083894,230587.01788532766
-4.2199,8.8543,4.43,0.0065,15.2896,6309.57344480193,706509.9882696943,919019.6377210404,524428.1677056877,404695.8554327897,1125591.588331616,711398.1881371585,432189.0365510539,260492.27745311504
-4.1395,8.8539,4.1127,0.0065,15.0887,6606.934480075957,834522.991230944,1119862.730904755,598805.8164231451,542061.742360983,1390147.358819655,835050.5275750915,494531.2562163426,292573.4094759773
-4.0591,8.8535,3.8167,0.0065,14.8878,6918.309709189362,979395.9551108042,1353333.3728585409,679838.898607834,712801.749105831,1700046.6505583369,972999.808391853,562644.069811767,327005.34601864207
-3.9788,8.8532,3.538,0.0065,14.6869,7244.359600749898,1142663.3713013134,1621529.266536013,768220.70873406,918858.7529330187,2058073.3021146643,1126555.9216440867,637314.4211830829,364145.420596831
-3.8984,8.8528,3.2763,0.0065,14.4861,7585.775750291836,1327144.7886840475,1928078.8538395984,866016.1880318632,1160616.5434704078,2468884.8739456693,1298592.094724101,720366.8942546329,404906.597104105
-3.8181,8.8525,3.031,0.0065,14.2852,7943.282347242814,1535459.2888641967,2278058.075520768,974015.8186375056,1440418.7193332892,2939414.545404382,1491257.8909606338,812669.0979011058,449526.0382144994
-3.7378,8.8522,2.8029,0.0065,14.0844,8317.63771102671,1772549.230534502,2678951.1321830214,1094475.4140387464,1760065.2023073141,3481615.7546308744,1709199.4907349984,916376.0831103609,498924.5252496264
-3.6574,8.8518,2.5906,0.0065,13.8835,8709.635899560806,2041353.915068355,3138230.157548291,1228021.6123312525,2123874.040632909,4105639.74470222,1954486.8587633027,1032175.9741579964,553241.6306906317
-3.5771,8.8515,2.3937,0.0065,13.6827,9120.108393559096,2347028.190781897,3664078.6858493476,1375960.6377040741,2537515.8095277566,4825483.543911329,2231478.746210758,1161645.8515823523,612738.0536958817
-3.4967,8.8511,2.2121,0.0065,13.4817,9549.92586021436,2694004.433218204,4266628.122064934,1539309.7143667694,3007798.626805962,5654846.738918984,2543505.9314649706,1305791.2251109523,677820.7391738106
-3.4163,8.8507,2.045,0.0065,13.2808,10000.0,3084027.9551553586,4951819.338282084,1717932.1612729626,3542327.8755044057,6602993.031049948,2892229.5216386844,1464312.419458525,747953.9373976463
-3.3359,8.8503,1.8861,0.0065,13.0796,10471.285480508985,3515590.692876554,5719588.595617135,1909352.0426448274,4150388.5541889365,7670449.922072745,3275463.4283022457,1634683.7515091193,822081.457840196
-3.2553,8.8497,1.7303,0.0065,12.8782,10964.78196143185,3977024.8630157216,6553673.352736989,2107492.3660317026,4835136.696265821,8832036.16890126,3681906.492433002,1810646.8182973538,897500.8173159966
-3.1747,8.8491,1.5856,0.0065,12.6766,11481.536214968817,4455313.882606413,7434380.611787162,2306779.111769158,5599235.792860323,10060529.501162505,4098951.2649704963,1986981.1442530882,972287.8366394164
-3.094,8.8484,1.4495,0.0065,12.475,12022.644346174131,4948553.912120877,8356892.037089616,2506836.5038880333,6448946.242301912,11348562.111178957,4524730.892670593,2162289.034109559,1046441.2544199986
-3.0132,8.8477,1.3222,0.0065,12.2731,12589.254117941662,5455547.055856748,9321478.270997556,2707484.6940741045,7381230.314704333,12696991.79404612,4957157.923604219,2337080.8984466833,1120043.4038396827
-2.9325,8.8469,1.2022,0.0065,12.0712,13182.567385564074,5963734.571931582,10300179.46139303,2902993.143970252,8362358.011084909,14068922.552414104,5385087.380801258,2506303.9919079333,1191118.178426391
-2.8517,8.8461,1.0881,0.0066,11.8693,13803.842646028837,6238743.756643451,10877864.22485753,2985553.461331397,9014623.62455235,14896343.59637112,5601851.565258616,2577345.1869524117,1216224.3521913164
-2.7709,8.8454,0.9798,0.0066,11.6674,14454.39770745928,6614501.941386156,11618328.020095138,3123667.883621452,9783800.73516316,15944087.941843007,5912506.033756097,2695085.751656324,1265591.9243067584
-2.6901,8.8445,0.8764,0.0066,11.4652,15135.612484362071,7027763.664615959,12438947.468766633,3274197.347663167,10655837.744771851,17104866.19108342,6251318.075391931,2822361.16710384,1319148.5212043368
-2.6092,8.8436,0.7774,0.0066,11.263,15848.93192461114,7542879.126337618,13469256.820029024,3460547.7991848625,11788745.685700644,18559218.342408013,6670088.51060411,2980798.2873979392,1385522.857649112
-2.5282,8.8426,0.6834,0.0066,11.0605,16595.869074375598,8148865.47344195,14683298.70268393,3682856.967775809,13195553.10780718,20261877.30206069,7158987.381828703,3168783.6460711434,1464784.3624869804
-2.447,8.8414,0.5933,0.0066,10.8576,17378.00828749376,8823830.322401032,16045144.540927742,3933913.9172036853,14852090.911192942,22153363.882585064,7702852.76964118,3380746.351612057,1555155.0499065863
